match_id,timestamp_min,kills_diff,deaths_diff,assists_diff,gold_diff,cs_diff,level_diff,towers_diff,inhibs_diff,dragons_diff,heralds_diff,barons_diff,blue_win
NA1_5399908861,10,1,-1,4,1071,-11,0.2,0,0,-1,0,0,1
NA1_5399908861,20,-1,1,-3,-2634,-46,-0.6,-3,0,-3,1,0,1
NA1_5399908861,30,-1,1,-7,5136,6,0.4,1,0,-4,1,1,1
NA1_5399850057,10,-2,2,-1,-1248,-3,-0.6,0,0,1,0,0,0
NA1_5399771710,10,-1,1,5,829,7,0.0,0,0,-1,0,0,1
NA1_5399771710,20,4,-4,14,4961,41,0.6,3,0,1,1,0,1
NA1_5398147770,10,-2,2,-6,-18,47,0.4,0,0,1,0,0,1
NA1_5398147770,20,-9,9,-18,433,126,0.0,2,0,1,-1,0,1
NA1_5398118341,10,1,-1,-1,-76,-3,0.0,0,0,-1,0,0,0
NA1_5398118341,20,2,-2,-1,-1780,-23,-0.8,0,0,-2,-1,0,0
NA1_5398088734,10,-10,10,-18,-3892,-5,-0.6,0,0,0,0,0,0
NA1_5398060200,10,1,-1,-1,-555,-36,0.0,0,0,-1,0,0,0
NA1_5398023209,10,11,-11,6,4187,35,1.0,0,0,1,0,0,0
NA1_5398023209,20,14,-14,9,6270,83,0.4,4,0,3,1,0,0
NA1_5397976581,10,0,0,-2,271,21,0.0,0,0,0,0,0,1
NA1_5397976581,20,5,-5,8,4020,65,0.4,2,0,2,1,0,1
NA1_5397938399,10,-2,2,-3,159,34,-0.2,0,0,1,0,0,1
NA1_5397938399,20,0,0,0,3321,79,0.8,2,0,2,1,0,1
NA1_5393277344,10,0,0,-1,188,10,0.0,0,0,-1,0,0,1
NA1_5393277344,20,3,-3,1,2392,31,0.8,1,0,1,-1,0,1
NA1_5393277344,30,3,-3,3,355,20,0.8,-1,0,2,-1,1,1
NA1_5393277344,40,-1,1,-10,-3474,18,0.2,-3,-1,2,-1,0,1
NA1_5389135295,10,3,-3,3,143,-8,0.2,0,0,1,0,0,0
NA1_5389135295,20,0,0,-2,-2110,-87,-1.0,-1,0,-1,0,0,0
NA1_5389028075,10,-2,2,-5,374,65,0.6,0,0,0,0,0,1
NA1_5389028075,20,5,-5,-1,8281,151,1.2,5,0,0,1,0,1
NA1_5388973431,10,6,-6,5,3352,45,0.2,0,0,-1,0,0,1
NA1_5388973431,20,7,-7,8,5631,70,-0.6,2,0,0,1,0,1
NA1_5388925998,10,-2,2,-3,-962,4,-0.2,0,0,0,0,0,1
NA1_5388925998,20,3,-3,0,2516,28,0.0,1,0,-2,1,0,1
NA1_5388925998,30,6,-6,20,6335,40,0.8,1,0,-2,1,1,1
NA1_5388898850,10,-5,5,-3,-1174,17,-0.2,0,0,0,0,0,0
NA1_5388861030,10,2,-2,5,14,4,0.0,0,0,0,0,0,1
NA1_5388861030,20,2,-2,5,1912,15,0.4,1,0,-2,1,0,1
NA1_5388526543,10,-5,5,-5,-2959,-52,-0.4,0,0,-1,0,0,0
NA1_5388526543,20,-10,10,-6,-8863,-135,-1.0,-3,0,-2,-1,0,0
NA1_5388508171,10,-3,3,-3,-1993,-21,-0.4,0,0,0,0,0,0
NA1_5388508171,20,-11,11,-10,-5464,-92,-0.8,-2,0,-2,1,0,0
NA1_5388464165,10,-2,2,-3,-1037,35,0.4,0,0,0,0,0,0
NA1_5388464165,20,0,0,-2,1813,43,0.2,2,0,0,1,0,0
NA1_5388464165,30,-6,6,-27,-5416,28,-1.0,-1,0,0,1,-1,0
NA1_5388425584,10,0,0,-2,715,23,-0.2,0,0,0,0,0,0
NA1_5388425584,20,-1,1,0,2507,28,0.2,4,0,0,1,0,0
NA1_5388393234,10,7,-7,14,3643,10,0.2,0,0,0,0,0,1
NA1_5388332407,10,-4,4,-2,-2234,-31,-0.4,0,0,-1,0,0,1
NA1_5388332407,20,-5,5,-3,-331,-3,-0.2,1,0,0,-1,0,1
NA1_5388282988,10,3,-3,2,1927,39,0.4,0,0,0,0,0,1
NA1_5388282988,20,7,-7,0,6157,109,0.6,4,0,1,1,0,1
NA1_5388229843,10,-1,1,2,53,0,-0.2,0,0,0,0,0,1
NA1_5388229843,20,1,-1,1,3940,54,0.0,3,0,-2,1,0,1
NA1_5388229843,30,10,-10,11,10299,99,1.8,4,0,-1,1,1,1
NA1_5387662774,10,0,0,-1,-63,1,-0.2,0,0,-1,0,0,1
NA1_5387662774,20,1,-1,3,926,-31,-0.4,3,0,-2,1,0,1
NA1_5387592809,10,1,-1,3,509,-6,0.4,0,0,-1,0,0,0
NA1_5387592809,20,-1,1,0,-3222,-49,-1.2,-1,0,-3,-1,0,0
NA1_5387537988,10,-4,4,-4,-1404,10,0.0,0,0,1,0,0,0
NA1_5387537988,20,-13,13,-21,-5806,5,-0.8,-2,0,2,-1,0,0
NA1_5387537988,30,-21,21,-40,-5577,20,-1.4,-3,-1,0,-1,0,0
NA1_5387455386,10,-2,2,1,-1078,0,0.0,0,0,0,0,0,0
NA1_5387455386,20,-8,8,-6,-4104,-28,-0.6,-1,0,-2,-1,0,0
NA1_5387455386,30,-9,9,-4,-282,-6,-0.2,0,0,-2,-1,1,0
NA1_5387375545,10,-5,5,-3,-1697,-28,-0.4,0,0,-1,0,0,0
NA1_5387375545,20,-11,11,-10,-4676,-73,-0.6,-2,0,-3,-1,0,0
NA1_5387005440,10,-1,1,-5,-2188,-46,-0.6,0,0,-1,0,0,0
NA1_5386985397,10,-6,6,-3,-3428,-42,-0.8,0,0,1,0,0,0
NA1_5386985397,20,2,-2,10,3626,-16,0.2,1,0,2,0,0,0
NA1_5386985397,30,-5,5,-8,-2283,-60,-0.6,-3,-1,0,1,1,0
NA1_5386958433,10,5,-5,8,1579,-21,0.0,0,0,0,0,0,1
NA1_5386958433,20,12,-12,23,3782,21,0.6,1,0,1,-1,0,1
NA1_5386892787,10,4,-4,5,1799,3,0.0,0,0,0,0,0,0
NA1_5386892787,20,4,-4,4,273,-12,-0.2,-2,0,-2,1,0,0
NA1_5386892787,30,1,-1,4,-4935,-84,-1.6,-4,0,-4,1,-1,0
NA1_5386838424,10,1,-1,-1,666,-30,-0.4,0,0,0,0,0,0
NA1_5386838424,20,1,-1,-10,572,-13,-0.8,1,0,0,1,0,0
NA1_5386838424,30,-3,3,-24,185,-18,-0.6,-1,0,-2,1,1,0
NA1_5386801679,10,5,-5,1,2515,28,0.2,0,0,-1,0,0,1
NA1_5386801679,20,11,-11,8,6195,86,0.4,4,0,-2,1,0,1
NA1_5384383497,10,-4,4,-5,-2614,-28,0.2,0,0,0,0,0,0
